series,count,mean,std,min,q25,median,q75,max,skewness,kurtosis,evidentiary_status
permits,704,1404.8764204545455,383.45211226691964,513.0,1163.0,1421.0,1668.0,2419.0,-0.11233174656945297,-0.1909271460554791,derived
starts,704,1434.8920454545455,396.3509404402168,478.0,1195.0,1453.5,1676.25,2494.0,-0.07760391313330901,0.00809833895148726,derived
completions,704,1401.5738636363637,351.4763217888556,520.0,1200.0,1406.5,1641.25,2299.0,-0.3024409545285701,-0.09970246808062333,derived
B_t,704,0.2752130681818182,18.68820795152503,-78.58333333333333,-9.10416666666666,1.9583333333333357,12.541666666666668,54.33333333333333,-0.8500955815682659,1.7057947253996453,derived
Q_t,704,2.776515151515152,16.505427600176453,-58.33333333333333,-5.979166666666668,4.208333333333336,12.666666666666671,58.166666666666686,-0.3791308085818609,0.7275772968174752,derived
H_t,704,-1302.6757812500002,852.9334258436992,-2413.5833333333344,-1979.9791666666665,-1579.7500000000005,-731.2500000000001,352.83333333333314,0.6192158767921012,-0.9299829121401282,derived
R_t,704,1.0208365661937895,0.20458559476725588,0.6609464378575143,0.8998275545073575,0.9848343025503443,1.083830614378558,2.18732782369146,2.0271049518023783,6.389527464156791,derived
K_t,704,1.0243055836456143,0.09583941828631315,0.7861579414374446,0.9591128605132649,1.0157181038861292,1.078050200201083,1.421487603305785,0.6794240900991363,0.9721524354389683,derived
