campaign,lambda_obs,r_retained_fraction,u_useful_fraction,v_incorporation_fraction,h_exchanges_per_unit,mu_eff_capability_units_per_day,evidentiary_status
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.5,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,100,0.625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,1000,0.0625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,10000,0.00625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,0.75,100000,0.000625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,1.0,100,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,1.0,1000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,1.0,10000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.5,1.0,100000,0.0008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.1,100,0.125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.1,1000,0.0125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.1,10000,0.00125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.1,100000,0.000125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.25,100,0.3125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.25,1000,0.03125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.25,10000,0.003125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.25,100000,0.0003125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.5,100,0.625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.5,1000,0.0625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.5,10000,0.00625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.5,100000,0.000625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.75,100,0.9375,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.75,1000,0.09375,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.75,10000,0.009375,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,0.75,100000,0.0009375,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,1.0,100,1.25,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,1.0,1000,0.125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,1.0,10000,0.0125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,0.75,1.0,100000,0.00125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.1,100,0.16666666666666669,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.1,1000,0.016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.1,10000,0.0016666666666666668,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.1,100000,0.0001666666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.25,100,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.25,1000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.25,10000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.25,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.5,100,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.5,1000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.5,10000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.5,100000,0.0008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.75,100,1.25,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.75,1000,0.125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.75,10000,0.0125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,0.75,100000,0.00125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,1.0,100,1.6666666666666665,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,1.0,1000,0.16666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,1.0,10000,0.016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.001,1.0,1.0,100000,0.0016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.1,100,0.08333333333333334,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.1,1000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.1,10000,0.0008333333333333334,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.1,100000,8.333333333333334e-05,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.25,100,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.25,1000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.25,10000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.25,100000,0.00020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.5,100,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.5,1000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.5,10000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.5,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.75,100,0.625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.75,1000,0.0625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.75,10000,0.00625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,0.75,100000,0.000625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,1.0,100,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,1.0,1000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,1.0,10000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.1,1.0,100000,0.0008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.1,100,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.1,1000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.1,10000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.1,100000,0.00020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.25,100,0.5208333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.25,1000,0.05208333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.25,10000,0.005208333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.25,100000,0.0005208333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.5,100,1.0416666666666665,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.5,1000,0.10416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.5,10000,0.010416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.5,100000,0.0010416666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.75,100,1.5624999999999998,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.75,1000,0.15624999999999997,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.75,10000,0.015624999999999997,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,0.75,100000,0.0015624999999999997,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,1.0,100,2.083333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,1.0,1000,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,1.0,10000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.25,1.0,100000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.1,100,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.1,1000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.1,10000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.1,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.25,100,1.0416666666666665,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.25,1000,0.10416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.25,10000,0.010416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.25,100000,0.0010416666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.5,100,2.083333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.5,1000,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.5,10000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.5,100000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.75,100,3.1249999999999996,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.75,1000,0.31249999999999994,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.75,10000,0.031249999999999993,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,0.75,100000,0.0031249999999999993,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,1.0,100,4.166666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,1.0,1000,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,1.0,10000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.5,1.0,100000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.1,100,0.625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.1,1000,0.0625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.1,10000,0.00625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.1,100000,0.000625,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.25,100,1.5624999999999998,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.25,1000,0.15624999999999997,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.25,10000,0.015624999999999997,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.25,100000,0.0015624999999999997,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.5,100,3.1249999999999996,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.5,1000,0.31249999999999994,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.5,10000,0.031249999999999993,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.5,100000,0.0031249999999999993,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.75,100,4.687499999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.75,1000,0.46874999999999994,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.75,10000,0.04687499999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,0.75,100000,0.0046875,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,1.0,100,6.249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,1.0,1000,0.6249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,1.0,10000,0.062499999999999986,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,0.75,1.0,100000,0.006249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.1,100,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.1,1000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.1,10000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.1,100000,0.0008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.25,100,2.083333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.25,1000,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.25,10000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.25,100000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.5,100,4.166666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.5,1000,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.5,10000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.5,100000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.75,100,6.249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.75,1000,0.6249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.75,10000,0.062499999999999986,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,0.75,100000,0.006249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,1.0,100,8.333333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,1.0,1000,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,1.0,10000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.005,1.0,1.0,100000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.1,100,0.16666666666666669,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.1,1000,0.016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.1,10000,0.0016666666666666668,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.1,100000,0.0001666666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.25,100,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.25,1000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.25,10000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.25,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.5,100,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.5,1000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.5,10000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.5,100000,0.0008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.75,100,1.25,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.75,1000,0.125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.75,10000,0.0125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,0.75,100000,0.00125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,1.0,100,1.6666666666666665,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,1.0,1000,0.16666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,1.0,10000,0.016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.1,1.0,100000,0.0016666666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.1,100,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.1,1000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.1,10000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.1,100000,0.00041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.25,100,1.0416666666666665,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.25,1000,0.10416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.25,10000,0.010416666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.25,100000,0.0010416666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.5,100,2.083333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.5,1000,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.5,10000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.5,100000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.75,100,3.1249999999999996,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.75,1000,0.31249999999999994,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.75,10000,0.031249999999999993,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,0.75,100000,0.0031249999999999993,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,1.0,100,4.166666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,1.0,1000,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,1.0,10000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.25,1.0,100000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.1,100,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.1,1000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.1,10000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.1,100000,0.0008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.25,100,2.083333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.25,1000,0.20833333333333331,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.25,10000,0.020833333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.25,100000,0.0020833333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.5,100,4.166666666666666,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.5,1000,0.41666666666666663,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.5,10000,0.041666666666666664,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.5,100000,0.004166666666666667,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.75,100,6.249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.75,1000,0.6249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.75,10000,0.062499999999999986,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,0.75,100000,0.006249999999999999,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,1.0,100,8.333333333333332,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,1.0,1000,0.8333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,1.0,10000,0.08333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.5,1.0,100000,0.008333333333333333,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.75,0.1,100,1.25,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.75,0.1,1000,0.125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.75,0.1,10000,0.0125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.75,0.1,100000,0.00125,scenario
DeepSeek_Distillation_Cluster,166666.66666666666,0.01,0.75,0.25,100,3.1249999999999996,scenario
